GenomeID	Assembly	Organism_Name	Domain	Phylum	Tandem_repeat_percentage
GCA_000231095	GCA_000231095.3	Oryza brachyantha	Eukaryota	Plants	6.955516
GCA_000235365	GCA_000235365.1	Eremothecium cymbalariae DBVPG#7215	Eukaryota	Fungi	2.233755
GCA_000236905	GCA_000236905.1	Tetrapisispora phaffii CBS 4417	Eukaryota	Fungi	2.551409
GCA_000237345	GCA_000237345.1	Naumovozyma castellii CBS 4309	Eukaryota	Fungi	2.57649
GCA_000237925	GCA_000237925.2	Schistosoma mansoni	Eukaryota	Animals	3.603772
GCA_000238955	GCA_000238955.5	Maylandia zebra	Eukaryota	Animals	11.73836
GCA_000240135	GCA_000240135.3	Fusarium graminearum PH-1	Eukaryota	Fungi	2.45643
GCA_000243375	GCA_000243375.1	Torulaspora delbrueckii	Eukaryota	Fungi	2.49497
GCA_000263155	GCA_000263155.2	Setaria italica	Eukaryota	Plants	7.198691
GCA_000304475	GCA_000304475.1	Kazachstania africana CBS 2517	Eukaryota	Fungi	2.288372
GCA_000309985	GCA_000309985.3	Brassica rapa	Eukaryota	Plants	6.364273
GCA_000313855	GCA_000313855.2	Musa acuminata subsp. malaccensis	Eukaryota	Plants	6.445001
GCA_000315875	GCA_000315875.1	Candida orthopsilosis Co 90-125	Eukaryota	Fungi	2.448045
GCA_000315915	GCA_000315915.1	Tetrapisispora blattae CBS 6284	Eukaryota	Fungi	3.247958
GCA_000317375	GCA_000317375.1	Microtus ochrogaster	Eukaryota	Animals	10.57927
GCA_000317415	GCA_000317415.1	Citrus sinensis	Eukaryota	Plants	8.711241
GCA_000321355	GCA_000321355.1	Plasmodium cynomolgi strain B	Eukaryota	Protists	9.219734
GCA_000327365	GCA_000327365.2	Gossypium raimondii	Eukaryota	Plants	6.757288
GCA_000331145	GCA_000331145.1	Cicer arietinum	Eukaryota	Plants	6.977673
GCA_000340665	GCA_000340665.2	Cajanus cajan	Eukaryota	Plants	6.823894
GCA_000342415	GCA_000342415.1	Theileria equi strain WA	Eukaryota	Protists	3.84832
GCA_000346465	GCA_000346465.2	Prunus persica	Eukaryota	Plants	8.484979
GCA_000346735	GCA_000346735.1	Prunus mume	Eukaryota	Plants	8.346497
GCA_000348985	GCA_000348985.1	Kazachstania naganishii CBS 8797	Eukaryota	Fungi	2.237263
GCA_000412225	GCA_000412225.2	[Ashbya] aceris (nom. inval.)	Eukaryota	Fungi	2.384667
GCA_000442705	GCA_000442705.1	Elaeis guineensis	Eukaryota	Plants	7.641863
GCA_000499845	GCA_000499845.1	Phaseolus vulgaris	Eukaryota	Plants	6.756949
GCA_000512975	GCA_000512975.1	Sesamum indicum	Eukaryota	Plants	6.70405
GCA_000612285	GCA_000612285.2	Gossypium arboreum	Eukaryota	Plants	7.326124
GCA_000633955	GCA_000633955.1	Camelina sativa	Eukaryota	Plants	6.887573
GCA_000687475	GCA_000687475.2	Ustilaginoidea virens	Eukaryota	Fungi	2.760034
GCA_000691945	GCA_000691945.2	Babesia microti strain RI	Eukaryota	Protists	2.888087
GCA_000695525	GCA_000695525.1	Brassica oleracea var. oleracea	Eukaryota	Plants	5.596864
GCA_000710275	GCA_000710275.1	Penicillium chrysogenum	Eukaryota	Fungi	2.69691
GCA_000740895	GCA_000740895.1	Theileria orientalis strain Shintoku	Eukaryota	Protists	4.547726
GCA_000803125	GCA_000803125.3	Camelus dromedarius	Eukaryota	Animals	10.87628
GCA_000817695	GCA_000817695.2	Arachis duranensis	Eukaryota	Plants	5.707174
GCA_000818155	GCA_000818155.1	Valsa mali	Eukaryota	Fungi	2.640206
GCA_000972845	GCA_000972845.2	Larimichthys crocea	Eukaryota	Animals	11.96559
GCA_000981445	GCA_000981445.1	Babesia bigemina	Eukaryota	Protists	4.774117
GCA_001040885	GCA_001040885.1	Strongyloides ratti	Eukaryota	Animals	5.150663
GCA_001190045	GCA_001190045.1	Vigna angularis	Eukaryota	Plants	7.32209
GCA_001406875	GCA_001406875.2	Solanum pennellii	Eukaryota	Plants	7.341322
GCA_001411555	GCA_001411555.2	Juglans regia	Eukaryota	Plants	6.776515
GCA_001413975	GCA_001413975.1	Saccharomyces boulardii (nom. inval.)	Eukaryota	Fungi	2.730251
GCA_001417885	GCA_001417885.1	Kluyveromyces marxianus DMKU3-1042	Eukaryota	Fungi	2.73224
GCA_001433935	GCA_001433935.1	Oryza sativa Japonica Group	Eukaryota	Plants	6.948504
GCA_001444195	GCA_001444195.3	Xiphophorus couchianus	Eukaryota	Animals	12.63606
GCA_001531365	GCA_001531365.2	Cynara cardunculus var. scolymus	Eukaryota	Plants	6.863528
GCA_001592805	GCA_001592805.2	Peltaster fructicola	Eukaryota	Fungi	2.427846
GCA_001601855	GCA_001601855.1	Plasmodium reichenowi	Eukaryota	Protists	11.66667
GCA_001602025	GCA_001602025.1	Plasmodium gaboni	Eukaryota	Protists	7.505774
GCA_001625195	GCA_001625195.1	Drechmeria coniospora	Eukaryota	Fungi	4.735308
GCA_001625215	GCA_001625215.1	Daucus carota subsp. sativus	Eukaryota	Plants	8.06882
GCA_001633185	GCA_001633185.5	Quercus lobata	Eukaryota	Plants	7.999346
GCA_001640025	GCA_001640025.2	Sugiyamaella lignohabitans	Eukaryota	Fungi	3.413302
GCA_001653235	GCA_001653235.2	Pochonia chlamydosporia 170	Eukaryota	Fungi	2.831185
GCA_001659605	GCA_001659605.2	Manihot esculenta	Eukaryota	Plants	8.007399
GCA_001672515	GCA_001672515.1	Colletotrichum higginsianum IMI 349063	Eukaryota	Fungi	2.238755
GCA_001680005	GCA_001680005.1	Plasmodium coatneyi	Eukaryota	Protists	5.964467
GCA_001704415	GCA_001704415.2	Capra hircus	Eukaryota	Animals	11.22399
GCA_001708105	GCA_001708105.1	Komagataella pastoris	Eukaryota	Fungi	2.867313
GCA_001723175	GCA_001723175.3	Penicillium oxalicum	Eukaryota	Fungi	2.171229
GCA_001858045	GCA_001858045.3	Oreochromis niloticus	Eukaryota	Animals	12.92724
GCA_001865875	GCA_001865875.1	Lupinus angustifolius	Eukaryota	Plants	6.964939
GCA_001876935	GCA_001876935.1	Asparagus officinalis	Eukaryota	Plants	6.137566
GCA_001879085	GCA_001879085.1	Nicotiana attenuata	Eukaryota	Plants	5.696017
GCA_001984395	GCA_001984395.2	Zygosaccharomyces parabailii	Eukaryota	Fungi	2.875273
GCA_002021735	GCA_002021735.2	Oncorhynchus kisutch	Eukaryota	Animals	17.41501
GCA_002022765	GCA_002022765.4	Crassostrea virginica	Eukaryota	Animals	12.53467
GCA_002114115	GCA_002114115.1	Malus domestica	Eukaryota	Plants	7.88287
GCA_002127325	GCA_002127325.2	Helianthus annuus	Eukaryota	Plants	5.898283
GCA_002162155	GCA_002162155.3	Triticum dicoccoides	Eukaryota	Plants	7.138578
GCA_002201575	GCA_002201575.2	Neomonachus schauinslandi	Eukaryota	Animals	10.58574
GCA_002204515	GCA_002204515.1	Aedes aegypti	Eukaryota	Animals	8.00629
GCA_002211085	GCA_002211085.2	Panicum hallii	Eukaryota	Plants	6.872631
GCA_002220235	GCA_002220235.1	Bathycoccus prasinos	Eukaryota	Plants	5.113924
GCA_002234675	GCA_002234675.1	Oryzias latipes	Eukaryota	Animals	12.36917
GCA_002237135	GCA_002237135.2	Teleopsis dalmanni	Eukaryota	Animals	7.049557
GCA_002263795	GCA_002263795.3	Bos taurus	Eukaryota	Animals	11.32031
GCA_002271885	GCA_002271885.2	Capsicum baccatum	Eukaryota	Plants	8.501704
GCA_002271895	GCA_002271895.2	Capsicum chinense	Eukaryota	Plants	7.731758
GCA_002287475	GCA_002287475.2	Pyrrhoderma noxium	Eukaryota	Fungi	3.716012
GCA_002563875	GCA_002563875.1	Besnoitia besnoiti	Eukaryota	Protists	4.46472
GCA_002575655	GCA_002575655.2	Aegilops tauschii subsp. strangulata	Eukaryota	Plants	6.649583
GCA_002742825	GCA_002742825.1	Caenorhabditis nigoni	Eukaryota	Animals	6.856438
GCA_002775205	GCA_002775205.2	Xiphophorus maculatus	Eukaryota	Animals	12.89268
GCA_002806865	GCA_002806865.2	Cucurbita pepo subsp. pepo	Eukaryota	Plants	6.77914
GCA_002837175	GCA_002837175.2	Physeter catodon	Eukaryota	Animals	10.72225
GCA_002863925	GCA_002863925.1	Equus caballus	Eukaryota	Animals	11.57651
GCA_002878395	GCA_002878395.3	Capsicum annuum	Eukaryota	Plants	7.564748
GCA_002880755	GCA_002880755.3	Pan troglodytes	Eukaryota	Animals	12.74045
GCA_002880775	GCA_002880775.3	Pongo abelii	Eukaryota	Animals	12.06377
GCA_002917755	GCA_002917755.1	Beta vulgaris subsp. vulgaris	Eukaryota	Plants	6.48375
GCA_002954075	GCA_002954075.1	Cryptococcus gattii VGII R265	Eukaryota	Fungi	2.054475
GCA_002994745	GCA_002994745.2	Rosa chinensis	Eukaryota	Plants	8.530591
GCA_003054445	GCA_003054445.1	Pichia kudriavzevii	Eukaryota	Fungi	2.588052
GCA_003073045	GCA_003073045.1	Pomacea canaliculata	Eukaryota	Animals	11.28453
GCA_003073215	GCA_003073215.2	Triticum urartu	Eukaryota	Plants	7.375308
GCA_003086295	GCA_003086295.2	Arachis hypogaea	Eukaryota	Plants	6.48331
GCA_003254395	GCA_003254395.2	Apis mellifera	Eukaryota	Animals	8.112733
GCA_003254725	GCA_003254725.2	Canis lupus dingo	Eukaryota	Animals	11.10469
GCA_003255815	GCA_003255815.1	Theropithecus gelada	Eukaryota	Animals	11.66659
GCA_003290485	GCA_003290485.1	Malassezia restricta	Eukaryota	Fungi	2.587381
GCA_003331165	GCA_003331165.2	Xiphophorus hellerii	Eukaryota	Animals	13.01367
GCA_003339765	GCA_003339765.3	Macaca mulatta	Eukaryota	Animals	12.37157
GCA_003368295	GCA_003368295.1	Carassius auratus	Eukaryota	Animals	13.39301
GCA_003369695	GCA_003369695.2	Bos indicus x Bos taurus	Eukaryota	Animals	11.17241
GCA_003369915	GCA_003369915.2	Drosophila miranda	Eukaryota	Animals	6.613646
GCA_003473485	GCA_003473485.2	Medicago truncatula	Eukaryota	Plants	8.394149
GCA_003573695	GCA_003573695.1	Papaver somniferum	Eukaryota	Plants	6.480688
GCA_003576645	GCA_003576645.1	Ipomoea triloba	Eukaryota	Plants	8.181047
GCA_003590095	GCA_003590095.1	Trichoplusia ni	Eukaryota	Animals	8.005832
GCA_003604175	GCA_003604175.2	Clonorchis sinensis	Eukaryota	Animals	5.30342
GCA_003672135	GCA_003672135.1	Ooceraea biroi	Eukaryota	Animals	7.269221
GCA_003704035	GCA_003704035.3	Peromyscus maniculatus bairdii	Eukaryota	Animals	11.01499
GCA_003713205	GCA_003713205.1	Coffea eugenioides	Eukaryota	Plants	7.604811
GCA_003713225	GCA_003713225.1	Coffea arabica	Eukaryota	Plants	7.089077
GCA_003814445	GCA_003814445.1	Epichloe festucae Fl1	Eukaryota	Fungi	2.797898
GCA_003952965	GCA_003952965.2	Morella rubra	Eukaryota	Plants	7.331865
GCA_003957555	GCA_003957555.2	Calypte anna	Eukaryota	Animals	10.75386
GCA_003957565	GCA_003957565.4	Taeniopygia guttata	Eukaryota	Animals	12.53027
GCA_003999625	GCA_003999625.1	Oryzias javanicus	Eukaryota	Animals	9.407858
GCA_004010195	GCA_004010195.1	Chiloscyllium plagiosum	Eukaryota	Animals	13.38622
GCA_004118075	GCA_004118075.2	Vigna unguiculata	Eukaryota	Plants	7.62853
GCA_004119915	GCA_004119915.2	Collichthys lucidus	Eukaryota	Animals	10.80247
GCA_004126475	GCA_004126475.3	Phyllostomus discolor	Eukaryota	Animals	11.27367
GCA_004193775	GCA_004193775.2	Glycine soja	Eukaryota	Plants	6.635453
GCA_004217705	GCA_004217705.1	Metschnikowia aff. pulcherrima	Eukaryota	Fungi	2.793103
GCA_004329165	GCA_004329165.1	Spatholobus suberectus	Eukaryota	Plants	5.593776
GCA_004353265	GCA_004353265.1	Vitis riparia	Eukaryota	Plants	9.523082
GCA_004354385	GCA_004354385.1	Drosophila innubila	Eukaryota	Animals	7.223244
GCA_004354835	GCA_004354835.1	Perca flavescens	Eukaryota	Animals	12.60264
GCA_004359215	GCA_004359215.2	Bremia lactucae	Eukaryota	Protists	4.033992
GCA_004379255	GCA_004379255.2	Salvia splendens	Eukaryota	Plants	6.330209
GCA_004382145	GCA_004382145.1	Drosophila mauritiana	Eukaryota	Animals	6.682256
GCA_004382195	GCA_004382195.2	Drosophila sechellia	Eukaryota	Animals	6.687447
GCA_004785595	GCA_004785595.1	Juglans microcarpa x Juglans regia	Eukaryota	Plants	6.630427
GCA_004837865	GCA_004837865.1	Musa balbisiana	Eukaryota	Plants	6.840273
GCA_005281545	GCA_005281545.1	Epinephelus lanceolatus	Eukaryota	Animals	12.34593
GCA_005286985	GCA_005286985.1	Setaria viridis	Eukaryota	Plants	7.195348
GCA_005393395	GCA_005393395.2	Gossypium australe	Eukaryota	Plants	4.918889
GCA_005498985	GCA_005498985.1	Sporisorium graminicola	Eukaryota	Fungi	2.260658
GCA_006149115	GCA_006149115.2	Oncorhynchus nerka	Eukaryota	Animals	13.5918
GCA_006345805	GCA_006345805.1	Octopus sinensis	Eukaryota	Animals	16.13364
GCA_006386435	GCA_006386435.1	Epinephelus moara	Eukaryota	Animals	12.40784
GCA_006542625	GCA_006542625.1	Nomascus leucogenys	Eukaryota	Animals	12.02806
GCA_006937295	GCA_006937295.1	Carpinus fangiana	Eukaryota	Plants	6.688136
GCA_007210705	GCA_007210705.1	Tigriopus californicus	Eukaryota	Animals	8.664116
GCA_007364275	GCA_007364275.2	Archocentrus centrarchus	Eukaryota	Animals	12.23617
GCA_007399415	GCA_007399415.1	Gopherus evgoodei	Eukaryota	Animals	12.23852
GCA_007474595	GCA_007474595.2	Lynx canadensis	Eukaryota	Animals	11.13362
GCA_007565055	GCA_007565055.1	Rhinopithecus roxellana	Eukaryota	Animals	11.97971
GCA_007655135	GCA_007655135.2	Punica granatum	Eukaryota	Plants	7.78735
GCA_007726485	GCA_007726485.1	Eragrostis curvula	Eukaryota	Plants	6.219546
GCA_007735645	GCA_007735645.1	Venturia effusa	Eukaryota	Fungi	2.879823
GCA_007844105	GCA_007844105.2	Rhamnella rubrinervis	Eukaryota	Plants	7.969814
GCA_007990325	GCA_007990325.1	Gossypium darwinii	Eukaryota	Plants	6.23518
GCA_007990345	GCA_007990345.1	Gossypium hirsutum	Eukaryota	Plants	7.13176
GCA_008009225	GCA_008009225.1	Acer yangbiense	Eukaryota	Plants	9.676166
GCA_008121235	GCA_008121235.1	Drosophila subobscura	Eukaryota	Animals	6.934524
GCA_008122165	GCA_008122165.1	Gorilla gorilla gorilla	Eukaryota	Animals	12.11388
GCA_008315115	GCA_008315115.2	Sander lucioperca	Eukaryota	Animals	13.20823
GCA_008369825	GCA_008369825.1	Triplophysa tibetana	Eukaryota	Animals	11.1335
GCA_008638375	GCA_008638375.1	Nyssa sinensis	Eukaryota	Plants	7.253329
GCA_008692025	GCA_008692025.1	Phocoena sinus	Eukaryota	Animals	11.05459
GCA_008692095	GCA_008692095.1	Etheostoma spectabile	Eukaryota	Animals	12.43006
GCA_008728515	GCA_008728515.1	Papio anubis	Eukaryota	Animals	11.65647
GCA_008782695	GCA_008782695.1	Muntiacus muntjak	Eukaryota	Animals	8.768125
GCA_008831285	GCA_008831285.2	Nymphaea colorata	Eukaryota	Plants	8.434205
GCA_008932095	GCA_008932095.1	Pyrus ussuriensis x Pyrus communis	Eukaryota	Plants	6.683002
GCA_009078335	GCA_009078335.1	Salix brachista	Eukaryota	Plants	7.097223
GCA_009078355	GCA_009078355.1	Pangasianodon hypophthalmus	Eukaryota	Animals	12.69834
GCA_009193385	GCA_009193385.2	Nasonia vitripennis	Eukaryota	Animals	7.829731
GCA_009363875	GCA_009363875.1	Mikania micrantha	Eukaryota	Plants	5.745613
GCA_009389715	GCA_009389715.1	Phoenix dactylifera	Eukaryota	Plants	7.353193
GCA_009650485	GCA_009650485.1	Drosophila albomicans	Eukaryota	Animals	7.527594
GCA_009650685	GCA_009650685.1	Cryptococcus cf. gattii	Eukaryota	Fungi	2.221507
GCA_009650955	GCA_009650955.1	Corvus moneduloides	Eukaryota	Animals	12.08016
GCA_009727055	GCA_009727055.1	Benincasa hispida	Eukaryota	Plants	6.465435
GCA_009730915	GCA_009730915.2	Dioscorea cayenensis subsp. rotundata	Eukaryota	Plants	7.263252
GCA_009731565	GCA_009731565.1	Danaus plexippus plexippus	Eukaryota	Animals	8.302175
GCA_009739505	GCA_009739505.2	Apolygus lucorum	Eukaryota	Animals	10.29098
GCA_009769545	GCA_009769545.1	Cyclopterus lumpus	Eukaryota	Animals	12.55121
GCA_009769625	GCA_009769625.2	Cygnus olor	Eukaryota	Animals	10.95356
GCA_009819705	GCA_009819705.1	Hippoglossus hippoglossus	Eukaryota	Animals	11.45093
GCA_009819795	GCA_009819795.1	Aythya fuligula	Eukaryota	Animals	10.74592
GCA_009829125	GCA_009829125.1	Periophthalmus magnuspinnatus	Eukaryota	Animals	11.83704
GCA_009829145	GCA_009829145.1	Chiroxiphia lanceolata	Eukaryota	Animals	11.74951
GCA_009829155	GCA_009829155.1	Mustela erminea	Eukaryota	Animals	11.11111
GCA_009870125	GCA_009870125.2	Drosophila pseudoobscura	Eukaryota	Animals	7.474029
GCA_009905375	GCA_009905375.1	Apium graveolens	Eukaryota	Plants	6.399555
GCA_010015445	GCA_010015445.1	Perca fluviatilis	Eukaryota	Animals	13.27285
GCA_010261695	GCA_010261695.1	Lupinus albus	Eukaryota	Plants	5.332929
GCA_010389155	GCA_010389155.1	Erigeron canadensis	Eukaryota	Plants	7.500958
GCA_010411085	GCA_010411085.1	Cervus hanglu yarkandensis	Eukaryota	Animals	10.53574
GCA_010645085	GCA_010645085.1	Acipenser ruthenus	Eukaryota	Animals	12.7966
GCA_010883055	GCA_010883055.1	Belonocnema kinseyi	Eukaryota	Animals	8.400055
GCA_010909765	GCA_010909765.2	Amblyraja radiata	Eukaryota	Animals	13.22399
GCA_010993605	GCA_010993605.1	Petromyzon marinus	Eukaryota	Animals	15.23322
GCA_011004845	GCA_011004845.1	Esox lucius	Eukaryota	Animals	15.20266
GCA_011022315	GCA_011022315.1	Saccharomyces pastorianus	Eukaryota	Fungi	2.294686
GCA_011064425	GCA_011064425.1	Rattus rattus	Eukaryota	Animals	10.1403
GCA_011064685	GCA_011064685.2	Spodoptera frugiperda	Eukaryota	Animals	9.043292
GCA_011074865	GCA_011074865.2	Brettanomyces nanus	Eukaryota	Fungi	2.992995
GCA_011074885	GCA_011074885.2	Brettanomyces bruxellensis	Eukaryota	Fungi	2.613008
GCA_011075055	GCA_011075055.1	Mangifera indica	Eukaryota	Plants	8.340869
GCA_011077185	GCA_011077185.1	Oxyura jamaicensis	Eukaryota	Animals	10.34966
GCA_011100635	GCA_011100635.1	Trichosurus vulpecula	Eukaryota	Animals	10.89562
GCA_011114355	GCA_011114355.1	Carex littledalei	Eukaryota	Plants	5.886547
GCA_011125445	GCA_011125445.2	Fundulus heteroclitus	Eukaryota	Animals	13.21818
GCA_011762505	GCA_011762505.1	Arvicanthis niloticus	Eukaryota	Animals	11.05514
GCA_011762595	GCA_011762595.1	Tursiops truncatus	Eukaryota	Animals	11.01351
GCA_011800845	GCA_011800845.1	Zootoca vivipara	Eukaryota	Animals	11.83056
GCA_012275295	GCA_012275295.1	Melopsittacus undulatus	Eukaryota	Animals	10.64528
GCA_012411365	GCA_012411365.1	Ameiurus melas	Eukaryota	Animals	11.55637
GCA_012432095	GCA_012432095.1	Onychostoma macrolepis	Eukaryota	Animals	12.91912
GCA_012460135	GCA_012460135.1	Molothrus ater	Eukaryota	Animals	11.72643
GCA_012559485	GCA_012559485.3	Macaca fascicularis	Eukaryota	Animals	11.81626
GCA_012931545	GCA_012931545.1	Oncorhynchus keta	Eukaryota	Animals	12.45699
GCA_013052645	GCA_013052645.1	Pan paniscus	Eukaryota	Animals	11.90199
GCA_013265735	GCA_013265735.3	Oncorhynchus mykiss	Eukaryota	Animals	17.15916
GCA_013339685	GCA_013339685.2	Hyalomma asiaticum	Eukaryota	Animals	3.676967
GCA_013339695	GCA_013339695.2	Rhipicephalus sanguineus	Eukaryota	Animals	7.583296
GCA_013339725	GCA_013339725.1	Rhipicephalus microplus	Eukaryota	Animals	7.84493
GCA_013339745	GCA_013339745.2	Dermacentor silvarum	Eukaryota	Animals	8.108801
GCA_013339765	GCA_013339765.2	Haemaphysalis longicornis	Eukaryota	Animals	2.64707
GCA_013340165	GCA_013340165.1	Drosophila suzukii	Eukaryota	Animals	6.937753
GCA_013347855	GCA_013347855.1	Anguilla anguilla	Eukaryota	Animals	13.80149
GCA_013358625	GCA_013358625.1	Macadamia integrifolia	Eukaryota	Plants	8.194898
GCA_013358895	GCA_013358895.1	Oreochromis aureus	Eukaryota	Animals	13.07159
GCA_013368755	GCA_013368755.1	Talaromyces rugulosus	Eukaryota	Fungi	2.403159
GCA_013373865	GCA_013373865.2	Monomorium pharaonis	Eukaryota	Animals	6.940581
GCA_013401445	GCA_013401445.1	Tripterygium wilfordii	Eukaryota	Plants	6.913337
GCA_013402915	GCA_013402915.1	Zygotorulaspora mrakii	Eukaryota	Fungi	2.421596
GCA_013694445	GCA_013694445.1	Torulaspora sp. CBS 2947	Eukaryota	Fungi	2.470636
GCA_013753865	GCA_013753865.1	Acropora millepora	Eukaryota	Animals	9.968144
GCA_013758885	GCA_013758885.1	Anopheles albimanus	Eukaryota	Animals	8.283614
GCA_014117465	GCA_014117465.1	Aspergillus flavus NRRL3357	Eukaryota	Fungi	2.656341
GCA_014133895	GCA_014133895.1	Torulaspora globosa	Eukaryota	Fungi	2.373225
GCA_014281875	GCA_014281875.1	Nibea albiflora	Eukaryota	Animals	10.59297
GCA_014282245	GCA_014282245.1	Rhododendron simsii	Eukaryota	Plants	8.945726
GCA_014356525	GCA_014356525.1	Nilaparvata lugens	Eukaryota	Animals	11.08658
GCA_014441545	GCA_014441545.1	Canis lupus familiaris	Eukaryota	Animals	11.0411
GCA_014529385	GCA_014529385.2	Adiantum capillus-veneris	Eukaryota	Plants	6.129511
